uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0930043S,0,95.5,32.3,0,1.0689655172413792,24,1,540
0870072F,0,84.7,33.0,0,1.0242424242424242,21,1,668
0280753S,0,93.1,30.3,0,0.9153094462540716,22,1,588
0330163Y,47,87.9,29.1,0,0.9363295880149812,18,1,517
0572023P,31,78.1,30.3,0,1.0107142857142857,25,1,563
9720446C,41,82.0,21.9,0,1.06,21,1,206
0131261A,0,71.2,19.6,0,0.8597285067873304,22,1,411
0870729V,0,73.8,22.9,0,0.968,25,1,246
9740546A,0,92.0,36.5,0,0.9361702127659575,23,1,1092
0631522M,56,73.7,21.7,0,0.9692832764505119,20,1,577
0830069Z,47,80.3,25.0,0,0.8085539714867617,20,1,888
0920854D,0,94.1,28.6,0,1.0162337662337662,24,1,621
0594297A,30,83.9,25.5,0,0.8037383177570093,19,1,386
0694295U,0,87.5,26.9,0,0.9547325102880658,17,1,475
0100009F,0,83.9,28.9,0,0.9540983606557377,20,1,596
0931429Y,0,78.1,20.4,0,0.7994652406417112,18,1,673
0590068D,0,87.1,31.6,0,0.8988095238095238,19,1,638
0760075U,64,83.7,26.7,0,1.0194174757281553,13,1,624
0941095E,52,79.6,22.8,0,0.9204152249134948,19,1,555
0511108C,60,74.0,21.8,0,0.9269102990033222,17,1,580
0330106L,0,95.0,35.8,0,0.9628099173553719,27,1,475
0931216S,0,73.6,22.9,0,0.8724279835390947,19,1,455
0951993A,0,68.5,21.0,0,1.0849673202614378,26,1,638
0280024Z,0,87.5,26.5,0,0.8708333333333333,21,1,449
0752196E,48,88.3,34.0,0,0.9595959595959596,19,1,388
0921675W,35,86.0,33.8,0,0.8909090909090909,24,1,520
0940786U,0,79.6,22.8,0,1.0826771653543308,20,1,529
0100807Y,56,82.4,30.2,0,0.8862068965517241,26,1,547
0691483M,0,81.1,25.4,0,0.9841897233201581,20,1,502
0750429J,0,125.0,40.7,0,0.9365853658536586,23,1,397
0931710D,0,86.3,26.5,0,0.9923954372623575,24,1,524
0131260Z,0,70.2,18.5,0,0.964824120603015,22,1,391
0780180X,0,80.9,23.3,0,1.101010101010101,19,1,624
0601177D,58,75.0,23.5,0,0.9277389277389277,29,1,827
0900351T,66,70.1,24.8,0,0.9787234042553191,23,1,372
0951195H,58,92.5,34.3,0,0.8837209302325582,21,1,729
0911402E,56,83.9,25.6,0,0.8567774936061381,19,1,726
0851163C,0,87.7,25.7,0,0.952,28,1,244
